title,bvid,link,up,play,bulletchat,reply,like,coin,favorite,share,labels
在毛毯上薅出艾伦,BV1X94y137YV,https://b23.tv/BV1X94y137YV,咖喱芋圆儿花开富贵儿,1865263,1237,1798,335116,128671,61933,12030,"['Call your name', '生活', '绘画', '手绘', '绘画', '进击的巨人', '绘画过程', '艾伦耶格尔', '艾伦']"
雍正年妃·补遗：年妃去世后，又有哪些事？【雍正王朝】,BV1xM411S73Z,https://b23.tv/BV1xM411S73Z,正直讲史-李正Str,798043,3659,1895,53597,27903,5896,720,"['知识研究所', '知识', '人文历史', '华妃', '甄嬛传', '清朝', '雍正', '雍正王朝', '年世兰', '年妃', '敦肃皇贵妃']"
野生的傻狍子把幼崽生到人类的菜地里然后它忘了,BV1Dc411X76c,https://b23.tv/BV1Dc411X76c,林中小呜,2262176,7483,5413,173097,47598,21687,12081,"['动物圈', '野生动物', '自然', '可爱', '野生动物']"
蓝朋友找上门来，那就切磋切磋,BV1sz4y1P7h1,https://b23.tv/BV1sz4y1P7h1,凌云仗剑走天涯,1553733,1383,795,43956,17150,15408,1479,"['有亿点功夫', '运动', '运动综合', '武术', '全国消防宣传月', '火焰蓝守护行动', '全国消防日', '有亿点功夫第3期']"
这是个音乐游戏！！2023版,BV1ze411X7MN,https://b23.tv/BV1ze411X7MN,哦呼w,2376574,1805,1988,273729,166805,62731,13599,"['英雄联盟S13', '鬼畜', '鬼畜调教', '传说之下', '鬼畜调教', '鬼畜', '音游', '英雄联盟', 'MEGALOVANIA', 'undertale', '喵斯快跑']"
【T1分析】T1也有弱点？如何破解T1推线体系？,BV16v411F7q2,https://b23.tv/BV16v411F7q2,徐桑,1366834,3163,5356,70248,32115,5697,2582,"['星茶会', '英雄联盟S13', '游戏', '电子竞技', 'SKT', 'LCK', 'LPL', '英雄联盟', 'T1', 'MOBA', 'Faker', 'Theshy', 'WBG']"
终有up出教程了！猫猫同款水母头麻花辫教程来啦～显发量显脸小！Haerin姜海粼同款发型～,BV1yG411Q78t,https://b23.tv/BV1yG411Q78t,来一小碗Www,313459,24,155,36061,2945,45383,2076,"['我的100个流行新妆', '时尚', '美妆护肤', '发型教程', 'kpop', 'Haerin', 'newjeans', '麻花辫', '创作灵感', '水母头', '爱豆同款发型']"
【动画】为什么所有人都比我好？,BV1Gy4y1c71y,https://b23.tv/BV1Gy4y1c71y,SKYE魏,5993353,4690,10861,1143483,559561,614361,72132,"['动画', '短片·手书', '手书', '动画短片', '原创动画', '动画']"
黑胡子Captain：You 凉席 is my 安妮女王复仇号,BV1h84y1Q7Ws,https://b23.tv/BV1h84y1Q7Ws,天亮手工,4750463,7264,3468,494907,366909,93905,22553,"[""He's a Pirate"", '我的手工真的很解压', '生活', '手工', '加勒比海盗', '技术宅', '手工', '原创', '黑胡子', '生活记录', '凉席', '船模', '一起做手工吧！10.0 国风手作纪']"
歌迷朋友们好，我又出歌了,BV1z94y1V7PE,https://b23.tv/BV1z94y1V7PE,papi酱,5220210,7744,9472,599089,388560,84652,71432,"['You 1ove 1t', '搞笑研究所', '生活', '搞笑', '搞笑', '音乐', '搞笑研究所2023 7.0 万圣节来搞怪']"
苏醒的龙皇神话【水无月菌】,BV1xe411X746,https://b23.tv/BV1xe411X746,水无月菌,2603670,7357,5327,229116,178027,49761,19536,"['桌游棋牌创作挑战', '游戏', '桌游棋牌', '游戏王', '桌游棋牌', '娱乐', '实况解说', '游戏王 Master Duel', '桌游棋牌创作营第十一期（斗地主）']"
《原神》角色演示-「芙宁娜：世界皆舞台」,BV1ZG411X71k,https://b23.tv/BV1ZG411X71k,原神,11078485,47751,47950,612791,423694,221836,119870,"['游戏', '手机游戏', '原神', '枫丹', '原神枫丹', '芙宁娜', '米哈游', 'miHoYo']"
钢铁侠、美队确认回归！托比蜘蛛侠，金刚狼领衔主演《复联6》,BV16Q4y1n7vm,https://b23.tv/BV16Q4y1n7vm,努力的Lorre,4835201,7670,6420,199434,18697,22713,41505,"['人人都能聊影视', '影视', '影视杂谈', '最强安利王3.0']"
“监控”四位同事30天，我们终于揪出了电费刺客,BV1re411X72v,https://b23.tv/BV1re411X72v,先看评测,3485551,8324,7030,210140,92518,62404,27902,"['万物研究所', '科技', '数码', '黑科技', '数码', '刺客', '科技', '真相', '数码科技', '调研', '电费', '侦察', '万物研究所·第11期']"
【进击的巨人】高燃纸片还原团长！心脏撒撒给呦！！,BV1ra4y1D7vA,https://b23.tv/BV1ra4y1D7vA,纸动画-甄强,4291771,1517,1627,483265,57467,60444,10912,"['Call of Silence', '我的绘画高光时刻', '生活', '绘画', '绘画', '手工', '动画', '进击的巨人', '创意', '纸动画制作过程', '纸动画', '一起来画画吧！寻找创意大神']"
【流浪地球3 | “催更版”预告】没时间了，开始吧！,BV1XM411D7b4,https://b23.tv/BV1XM411D7b4,电影流浪地球,1426493,3936,7342,164288,52067,37929,42086,"['影视', '预告·资讯', '刘慈欣', '流浪地球', '吴京', '刘德华', '科幻', '电影', '预告片', '流浪地球3', '郭帆']"
